round,train_loss,train_acc,train_top5,val_loss,val_acc,val_top5,round_time,throughput,num_samples,active_workers
1,5.013386274681091,0.03014,0.10714,4.949309894561767,0.0309,0.112,1846.966129541397,54.1428445278691,100000,4
2,4.589753714752197,0.06223,0.19842,4.344145066452026,0.0915,0.2597,1731.7086760997772,57.74643355441514,100000,4
3,4.262429903144836,0.09913,0.27933,4.020318939208984,0.1322,0.3451,1736.2274496555328,57.59614042494258,100000,4
