epoch,cost,train,test,epoch_time,total_time
0,5.299984355926513,0.02868,0.005,123.0629370212555,123.06293892860413
1,4.620716239929199,0.04668,0.07,108.14086198806763,231.2039041519165
2,4.206170013427735,0.07255,0.123,103.76014590263367,334.9641544818878
3,4.046302967071533,0.09291,0.1315,100.53170967102051,435.49598026275635
4,3.8279191341400147,0.11077,0.1625,100.27714228630066,535.7732472419739
5,3.7759771423339843,0.12604,0.17,100.13225197792053,635.9056143760681
6,3.698165994644165,0.1398,0.1935,102.10412073135376,738.0099303722382
7,3.565368885040283,0.15363,0.2075,103.71556901931763,841.7256784439087
8,3.5219966735839843,0.16147,0.219,100.60814785957336,942.3339629173279
9,3.41881077003479,0.17138,0.2305,555.1004326343536,1497.434520483017
10,3.3823239440917967,0.18009,0.249,115.55353569984436,1612.988199710846
11,3.4107096920013427,0.18787,0.2455,102.9734263420105,1715.9617772102356
12,3.298834066390991,0.19459,0.254,141.10282826423645,1857.0646920204163
13,3.2583944034576415,0.19882,0.2665,98.64650011062622,1955.7112908363342
14,3.270817472457886,0.20384,0.26,114.25557470321655,2069.9670243263245
15,3.237253931045532,0.20914,0.265,99.3459312915802,2169.3130581378937
16,3.2243126277923584,0.21375,0.2635,98.12335968017578,2267.43651676178
17,3.1476046981811523,0.21564,0.2895,147.03470063209534,2414.4713304042816
18,3.1499567527770997,0.21843,0.2875,98.71968150138855,2513.191279411316
19,3.17995733833313,0.22352,0.274,98.52855038642883,2611.7201006412506
20,3.1031235065460203,0.22555,0.3,98.7126989364624,2710.433008670807
21,3.09915341758728,0.23046,0.2925,100.02390909194946,2810.4570207595825
22,3.0916857681274412,0.23087,0.291,98.77373933792114,2909.230864048004
23,3.0604753398895266,0.23291,0.3055,98.79289555549622,3008.023875951767
24,3.0310033931732177,0.23579,0.3155,99.13782072067261,3107.1618089675903
25,3.040169900894165,0.23767,0.312,99.62474870681763,3206.786689758301
26,3.0383707962036133,0.23794,0.3125,99.18526482582092,3305.9720952510834
27,3.0257626438140868,0.24105,0.3045,144.9927215576172,3450.964965581894
28,3.012167510986328,0.24304,0.316,98.25091242790222,3549.215989589691
29,3.020677236557007,0.24507,0.315,98.40527129173279,3647.621368408203
30,2.997398418426514,0.24679,0.3135,99.0234124660492,3746.6448950767517
31,2.980973873138428,0.24907,0.3245,101.14397358894348,3847.7890372276306
32,2.970057464599609,0.25014,0.319,102.01341652870178,3949.8025617599487
33,2.981638599395752,0.25017,0.3255,98.3880774974823,4048.190755367279
34,2.970560565948486,0.25267,0.3185,98.40194344520569,4146.592826843262
35,2.988481357574463,0.25243,0.3085,101.61835598945618,4248.211323022842
36,2.9456053676605225,0.25468,0.33,99.57937479019165,4347.790809631348
37,2.9094288311004637,0.255,0.329,98.05628657341003,4445.847246170044
38,2.9370621738433837,0.25597,0.3235,107.55379271507263,4553.40115404129
39,2.900429618835449,0.25776,0.3395,250.21549272537231,4803.616804122925
40,2.916333377838135,0.25862,0.3285,98.19305157661438,4901.809975385666
41,2.9145442771911623,0.25973,0.332,98.26893329620361,5000.079018354416
42,2.9323829650878905,0.25942,0.321,98.74127292633057,5098.820412635803
43,2.949032773971558,0.26186,0.3205,99.30890560150146,5198.129492521286
44,2.915135581970215,0.26032,0.323,93.59839653968811,5291.728045225143
45,2.893415651321411,0.26118,0.3275,105.45599937438965,5397.184165477753
46,2.900864295959473,0.26352105408421633,0.331,314.073698759079,5711.258008241653
47,2.909134786605835,0.26330505322021286,0.332,60.32227277755737,5771.580392837524
48,2.93552117729187,0.2626450505802023,0.325,426.3726987838745,6197.953200817108
49,2.8840154190063476,0.26518906075624304,0.3335,59.54880166053772,6257.502163887024
