epoch,cost,train,test,epoch_time,total_time,lr
0,1.8448116918563844,0.47482,0.5548,246.5790479183197,246.57904863357544,0.001
1,1.798919896697998,0.56522,0.5646,239.36760783195496,485.9817488193512,0.001
2,1.7854238430023193,0.58342,0.5702,238.10602355003357,724.1169004440308,0.001
3,1.7984167755126954,0.5927,0.5737,237.82197856903076,961.9682190418243,0.001
4,1.7814959354400635,0.60041,0.5748,237.46323251724243,1199.4668202400208,0.001
5,1.8271509326934814,0.60495,0.5669,238.31709337234497,1437.823439359665,0.001
6,1.7955629459381104,0.61033,0.5721,314.02206015586853,1751.8456044197083,0.001
7,1.800530238723755,0.61255,0.5773,237.76146793365479,1989.6071903705597,0.001
8,1.8090070991516114,0.61177,0.5729,237.1004195213318,2226.7462990283966,0.001
9,1.8160017776489257,0.61653,0.572,237.82512521743774,2464.5715255737305,0.001
10,1.7763840938568116,0.63291,0.5795,237.408034324646,2701.979665994644,0.0005
11,1.7808945713043214,0.63674,0.5808,239.50988221168518,2941.5220205783844,0.0005
12,1.776794452857971,0.63714,0.5814,236.63865303993225,3178.199473142624,0.0005
13,1.7798765518188477,0.63789,0.5842,238.50621056556702,3416.7347509860992,0.0005
14,1.778690923690796,0.63949,0.5798,240.78491735458374,3657.546392440796,0.0005
15,1.7820647354125976,0.6392,0.5836,241.21118450164795,3898.7578341960907,0.0005
16,1.7963680963516235,0.63837,0.5785,240.29650592803955,4139.054570198059,0.0005
17,1.7942833148956299,0.63954,0.5771,240.66201734542847,4379.716780424118,0.0005
18,1.79539813747406,0.64133,0.5777,240.60677647590637,4620.323673963547,0.0005
19,1.7911579195022582,0.64151,0.5785,239.0837366580963,4859.407521486282,0.0005
20,1.7721746843338013,0.65202,0.583,240.339528799057,5099.74716258049,0.00025
21,1.7703970441818238,0.64988,0.5792,239.25938725471497,5339.00666975975,0.00025
22,1.7767907793045044,0.65169,0.5811,240.43356442451477,5579.440349340439,0.00025
23,1.7793752742767335,0.65085,0.5805,238.58129048347473,5818.021767139435,0.00025
24,1.7748349061965942,0.65216,0.583,238.78178572654724,6056.803689002991,0.00025
25,1.7762410610198975,0.65312,0.5811,238.5977611541748,6295.401599407196,0.00025
26,1.7783510816574097,0.65306,0.5824,240.27830457687378,6535.680021047592,0.00025
27,1.7801777893066406,0.65358,0.5791,240.15487384796143,6775.835002183914,0.00025
28,1.783894342803955,0.65224,0.5801,239.46502137184143,7015.300150871277,0.00025
29,1.7741723106384277,0.65483,0.5811,238.54501390457153,7253.845283031464,0.00025
30,1.7713307411193848,0.65737,0.5824,238.2821946144104,7492.127589225769,0.000125
31,1.7671686504364015,0.6596,0.5856,239.4353928565979,7731.563096046448,0.000125
32,1.7676256134033204,0.65968,0.5824,238.84340691566467,7970.4446222782135,0.000125
33,1.784701884841919,0.65947,0.5832,238.55727338790894,8209.002003908157,0.000125
34,1.778966381072998,0.6577,0.5828,239.8343071937561,8448.836403608322,0.000125
35,1.7729089839935304,0.65966,0.5822,237.5430679321289,8686.379568576813,0.000125
36,1.7728038383483886,0.6569,0.5832,239.43904995918274,8925.818704128265,0.000125
37,1.7755023635864258,0.66098,0.5803,238.11417317390442,9163.932983160019,0.000125
38,1.7716930715560912,0.6596,0.582,239.40760374069214,9403.34069108963,0.000125
39,1.7752120208740234,0.65941,0.5841,238.0740852355957,9641.414908409119,0.000125
40,1.7669655870437622,0.66071,0.5823,239.75633931159973,9881.171344041824,6.25e-05
41,1.7744550445556642,0.66424,0.5825,237.29273557662964,10118.464201688766,6.25e-05
42,1.7756682008743285,0.66077,0.58,239.67943263053894,10358.143733739853,6.25e-05
43,1.7621782875061036,0.66175,0.5836,238.33012986183167,10596.473988771439,6.25e-05
44,1.771755715751648,0.66266,0.5838,240.03453922271729,10836.508659601212,6.25e-05
45,1.7702535270690918,0.66295,0.5826,238.74153923988342,11075.250323295593,6.25e-05
46,1.772588605117798,0.66216,0.5828,240.22971439361572,11315.480184793472,6.25e-05
47,1.774639280319214,0.66433,0.5814,238.5753858089447,11554.055689811707,6.25e-05
48,1.7696714908599853,0.66279,0.5825,239.97931742668152,11794.03513765335,6.25e-05
49,1.7614450883865356,0.66231,0.5866,238.88538527488708,12032.92063164711,6.25e-05
50,1.7656949522018432,0.66401,0.5846,240.14230680465698,12273.101364850998,3.125e-05
51,1.7734132522583008,0.66439,0.58,238.49557375907898,12511.597091674805,3.125e-05
52,1.7712675422668458,0.66368,0.5845,239.12266302108765,12750.719865083694,3.125e-05
53,1.776224959564209,0.66206,0.5827,239.39228868484497,12990.112301826477,3.125e-05
54,1.756587326812744,0.66318,0.5863,239.51437950134277,13229.626806259155,3.125e-05
55,1.764928520965576,0.66587,0.5843,241.1952555179596,13470.822157859802,3.125e-05
56,1.7678659496307374,0.66495,0.5833,238.4895203113556,13709.311847925186,3.125e-05
57,1.7681913248062133,0.66412,0.5822,241.26326894760132,13950.575230121613,3.125e-05
58,1.7623632604599,0.66514,0.5818,239.13337874412537,14189.708788394928,3.125e-05
59,1.7728895317077638,0.66131,0.5804,241.2516679763794,14430.960567474365,3.125e-05
60,1.7619148643493652,0.66355,0.5837,240.8523440361023,14671.81306552887,1.5625e-05
61,1.770587837600708,0.66503,0.5823,242.21815609931946,14914.031355381012,1.5625e-05
62,1.773638408088684,0.66484,0.5826,242.50822472572327,15156.539791107178,1.5625e-05
63,1.766330846786499,0.66407,0.584,238.77545928955078,15395.3154566288,1.5625e-05
64,1.7717575429916381,0.66533,0.5839,238.67267417907715,15633.988228082657,1.5625e-05
65,1.7591625820159913,0.66236,0.5839,239.32936477661133,15873.317725658417,1.5625e-05
66,1.7676214546203612,0.66597,0.5824,237.13352298736572,16110.451346874237,1.5625e-05
67,1.765651517868042,0.66538,0.5834,239.64326930046082,16350.09472823143,1.5625e-05
68,1.7717096927642821,0.66543,0.5828,238.56015300750732,16588.65499687195,1.5625e-05
69,1.7680850370407104,0.66365,0.5825,237.7903435230255,16826.445437431335,1.5625e-05
70,1.7700624643325806,0.66604,0.5836,238.135897397995,17064.581436872482,7.8125e-06
71,1.7695353435516357,0.66675,0.5836,237.98345851898193,17302.56503510475,7.8125e-06
72,1.7649182666778565,0.66573,0.5843,239.0805721282959,17541.64573264122,7.8125e-06
73,1.7686475814819336,0.66373,0.5823,238.61960244178772,17780.26546907425,7.8125e-06
74,1.7696703199386596,0.66643,0.5814,236.45926117897034,18016.724858999252,7.8125e-06
75,1.7662216732025147,0.66479,0.5821,238.39206910133362,18255.1170668602,7.8125e-06
76,1.7718818759918213,0.66505,0.5801,236.50663709640503,18491.62385082245,7.8125e-06
77,1.7661442638397218,0.66506,0.5828,240.01631832122803,18731.640307188034,7.8125e-06
78,1.7734360927581787,0.66649,0.5815,237.72818088531494,18969.368635892868,7.8125e-06
79,1.7749865779876708,0.66404,0.5804,239.3064250946045,19208.67514848709,7.8125e-06
80,1.7637372467041015,0.66545,0.583,236.8731987476349,19445.548503875732,3.90625e-06
81,1.7698773784637452,0.66478,0.5827,239.5510015487671,19685.099618196487,3.90625e-06
82,1.7750688835144044,0.66583,0.5828,237.53825664520264,19922.638011217117,3.90625e-06
83,1.7718414005279541,0.66617,0.5826,240.88638186454773,20163.524492025375,3.90625e-06
84,1.7724871227264405,0.66511,0.5832,238.57973885536194,20402.104377746582,3.90625e-06
85,1.7653391639709473,0.66423,0.5831,239.5095191001892,20641.61400794983,3.90625e-06
86,1.7691945415496826,0.66532,0.5818,238.41830945014954,20880.032480478287,3.90625e-06
87,1.7729091890335082,0.66565,0.5824,239.593248128891,21119.625821590424,3.90625e-06
88,1.7701433561325073,0.66773,0.5816,237.4279808998108,21357.053948163986,3.90625e-06
89,1.7624265752792359,0.66583,0.583,238.06377530097961,21595.117842435837,3.90625e-06
90,1.7707108770370483,0.66619,0.5816,238.9734115600586,21834.09142279625,1.953125e-06
91,1.7701241271972656,0.66591,0.5849,238.98187065124512,22073.073407649994,1.953125e-06
92,1.7758626083374023,0.66616,0.5837,239.09605169296265,22312.16959953308,1.953125e-06
93,1.768668387413025,0.66644,0.5818,239.44715428352356,22551.61689543724,1.953125e-06
94,1.7661736053466797,0.66555,0.5836,240.1043565273285,22791.72139120102,1.953125e-06
95,1.773409610748291,0.66687,0.5813,239.79819297790527,23031.5196685791,1.953125e-06
96,1.7700816814422606,0.66674,0.5821,239.20355987548828,23270.72336792946,1.953125e-06
